-0.00258679
-0.00199701	-0.00340149
0.00456732	0.00144514	-0.00891397
0.00261741	-0.00102100	-0.00077736	0.00524679
-0.00535367	0.00167189	0.00851059	-0.00945495	0.05464817
4.947931e-05	0.00512412	0.00778565	-0.01472741	0.07817233	0.13846881
-0.00396031	0.00166120	0.00372905	8.886549e-05	0.03136312	0.04973990	0.02485091
-0.00377970	-0.00370021	0.00212609	0.00014811	0.00424641	0.01605082	0.00469085	0.00783025
0.00348120	-0.00148698	-0.00218863	-0.00689050	0.02743852	0.03699525	0.02153281	0.00779214	0.01085413
-0.00123922	-0.00361622	0.00248155	0.00294942	0.02272020	0.03013540	0.01067121	0.00716902	0.00650346	-0.00069082
0.00171973	0.00102264	-0.00472480	0.00141139	-0.00157936	0.00698617	0.00433024	0.00140867	0.00486892	-0.00789903	0.00858313
-0.00605177	0.00503295	0.01366950	-0.00446861	0.05969993	0.12065678	0.05718027	0.02854065	0.03472500	0.02364851	0.01756984	0.13086705
0.01262290	-0.00941052	-0.00590830	-0.00822948	-0.03321185	-0.07921510	0.00968506	0.00869063	-0.01055570	-0.00297445	-0.00681918	0.04261545	0.55820754
0.00039435	-0.00189057	0.01399085	-0.00168361	0.04845935	0.08894144	0.04880017	0.00762149	0.01950019	0.02564389	0.00048865	0.09980406	-0.01356897	0.12002707
-0.00442754	0.00074969	-0.00573346	-0.00309196	0.00588731	0.02145557	0.01164494	7.522623e-05	0.01579686	0.00126544	-0.00491667	0.00790137	-0.01877049	0.01579317	0.00860882
-0.00244914	-0.00078890	-0.00069337	-0.00098994	0.01721942	0.02025762	0.01723546	0.00619075	0.01350626	0.00707360	0.00048740	0.02408046	-0.01317393	0.01408891	0.01044335	0.00614477
0.00445531	-0.00636385	0.00164894	-0.00760051	-0.00262275	0.00665514	0.00219605	0.00404671	-0.00267990	0.00011606	0.00278290	0.00940210	-0.00916633	0.01143731	0.00062810	-0.00274771	0.00831933
0.00179214	0.00157557	-0.00022967	-0.00404337	0.02913974	0.03078278	0.02550068	-0.00433678	0.01624231	0.00920449	0.00854862	0.02808439	0.00243700	0.03281638	0.01271378	0.01605514	0.01123157	0.02434226
-0.00282037	-0.00897840	-0.00488820	-0.00338794	-0.00400054	-0.00529601	0.00461466	0.00586757	-0.00613720	0.00326042	0.00905785	-0.00171653	-0.01129471	-0.00870122	0.00044596	0.00221746	0.00386942	-0.00518461	-0.00432330
